idx,name,price
116, Los Detectives Salvajes  ,$ 86.952
117, Desaparecido en Concepcion  ,$ 79.048
118, El Principe Lestat y los Reinos de la Atlantida  ,$ 56.000
119, La Naranja Mecánica  ,$ 68.762
120, Dime Quien soy  ,$ 58.190
121, El Fuego Invisible (Premio Planeta 2018)  ,$ 84.667
122, El Juego del Angel  ,$ 75.810
123, Mago y Cristal (la Torre Oscura #4) (b)  ,$ 70.238
124, La Obsesion  ,$ 63.524
125, Patria  ,$ 73.810
126, Un abogado rebelde  ,$ 84.952
127," Tú, Nada más  ",$ 79.762
128, 3. La Legion Perdida  Trilogia de Trajano  ,$ 85.238
129, La Elegancia del Erizo  ,$ 64.048
130, Los Pilares de la Tierra  ,$ 82.714
131, Un Extraño en Casa  ,$ 79.048
132, Doctor Sueño  ,$ 68.048
133, Una Herencia Misteriosa  ,$ 79.048
134, Una Promesa en el fin del Mundo  ,$ 84.952
135, Niyomismalosé  ,$ 63.381
136, Aniquilación  ,$ 92.286
137, Mas Alla del Invierno  ,$ 67.619
138, Los Médici. Un Hombre al Poder (Los Médici 2)  ,$ 69.333
139, El Resplandor  ,$ 65.238
140, Condenados ( Libro 1 de la Saga Down )  ,$ 64.476
141, Diario de Quedar Embarazada  ,$ 73.190
142, Al Atardecer  ,$ 90.810
143, El Adversario  ,$ 93.810
144, Todo o Nada. El Affaire Blackstone ii  ,$ 102.381
145, El Manuscrito Encontrado En Accra  ,$ 55.524
146, Omerta  ,$ 51.048
147, El umbral de la eternidad  ,$ 108.476
148, Las Legiones Malditas (Trilogía Africanus 2)  ,$ 55.952
149, DOMINA ,$ 79.048
150, El Soborno  ,$ 82.000
151, Endymion (Los Cantos de Hyperion #3)  ,$ 59.000
152, La Traición de Roma (Trilogía Africanus 3)  ,$ 55.952
153, Un Lugar Donde Refugiarse  ,$ 52.714
154, El Rescate  ,$ 61.810
155, El Prisionero del Cielo  ,$ 81.714
156, Danza de Dragones  ,$ 84.952
157, La Sustancia del mal  ,$ 84.952
158, Hyperion (Los Cantos de Hyperion Vol. I) (Nova)  ,$ 145.619
159, Hhhh  ,$ 63.381
160, Metro 2035  ,$ 90.952
161, Los Hombres Que No Amaban A Las Mujeres (Bestseller Internacional) ,$ 66.905
162, Nemesis  ( Libro 4 de la Serie Harry Hole ). Harry Hole 4  ,$ 71.667
163, Doctor Sueño  ,$ 232.048
164, Las Naves de la Locura  ,$ 75.095
165, La Conspiracion  ,$ 77.190
166, La Estación de las Flores en Llamas  ,$ 82.714
167, Bajo Cielos Lejanos  ,$ 90.810
168, A ti que te Importa?  ,$ 68.095
169, Visiones de Robot  ,$ 64.429
170, Todo Oscuro sin Estrellas Debols! Llo  ,$ 61.905
171, Lo que no te Mata te Hace más Fuerte  ,$ 66.905
172, Seveneves  ,$ 101.238
173, El Caso Neruda  ,$ 61.429
174, Adulterio  ,$ 58.476
175, La Elegida  ,$ 59.000
176, El fin de la Muerte (Trilogía de los Tres Cuerpos 3)  ,$ 67.143
177, A Primera Vista  ,$ 54.476
178, La Sombra del Viento  ,$ 70.333
179, Los Padecientes  ,$ 78.762
180, Estuche Tolkien  ,$ 396.333
181, Las Siete Hermanas 3. La hermana sombra  ,$ 80.810
182, Cuentame Esta Noche Relatos Seleccionados  ,$ 60.714
183, La Isla Bajo el mar  ,$ 115.190
184, El Cementerio de Praga  ,$ 70.429
185, El Umbral de la Eternidad  ,$ 118.619
186," Sirena, La  ",$ 59.000
187, El Secreto de mi Marido  ,$ 82.000
188, Need you Admite que Necesitas su Amor  ,$ 63.571
189, El Caballero de los Siete Reinos  ,$ 59.000
190, 22  ,$ 39.190
191, La conspiración  ,$ 73.619
192, Despues de Todo Estas tu  ,$ 82.000
193, Firefight (Trilogía de los Reckoners 2) (Nova)  ,$ 63.952
194, La luz de la Tierra  ,$ 72.095
195, El Secreto de Gray Mountain  ,$ 75.048
196, Danza de Dragones (Cancion de Hielo y Fuego #5) (Tb)  ,$ 108.476
197, Estados Unidos de Japón  ,$ 93.429
198, Cincuenta Sombras Liberadas  ,$ 90.810
199, El Valle de Luzbel  ,$ 208.381
200, Canción de Hielo y Fuego 2: Choque de Reyes  ,$ 92.190
201, Detrás del muro  ,$ 82.000
202, Inevitable Desastre  ,$ 64.333
203, Media Guerra (el mar Quebrado 3)  ,$ 70.524
204, La Carretera  ,$ 64.381
205, It (Eso)  ,$ 112.762
206, La Caída de Hyperion (Los Cantos de Hyperion Vol. Ii) (Nova)  ,$ 87.000
207, La Chica del Tren  ,$ 77.286
208, La cumbre escarlata  ,$ 76.095
209, Lugares oscuros  ,$ 79.048
210, Solo Nosotros dos  ,$ 67.619
211, Los Siete Pilares de la Sabiduría  ,$ 57.000
212, Deseo Concedido (Las Guerreras Maxwell #1)  ,$ 68.095
213, Las Siete Hermanas 2. La Hermana Tormenta  ,$ 90.810
214, Llamada Para el Muerto  ,$ 57.667
215, Criptonomicón  ,$ 67.571
216, El Intermediario  ,$ 61.905
217, Neuromante  ,$ 78.476
218, El Topo ,$ 57.667
219, Las Confesiones del Joven Nerón  ,$ 82.000
220, Luna Nueva (Trilogía Luna 1)  ,$ 64.476
221, Mentiras Peligrosas  ,$ 64.333
222, El Juego de Ender (Premio Nébula 1985) (Premio Hugo 1986) (Bestseller Zeta Bolsillo)  ,$ 58.476
223, El Alquimista. ( Nueva Edicion )  ,$ 76.667
224, El Sendero del Amor  ,$ 58.905
225, Sígueme la Corriente  ,$ 65.286
226, El Temor de un Hombre Sabio (Crónicas del Asesino #2)  ,$ 93.762
227, Danza de Dragones  ,$ 86.524
228," Hola,? Te Acuerdas de mi?  ",$ 71.143
229, La Tierra del sol Poniente  ,$ 84.952
230, Grey  ,$ 237.667
231, La Guerra de los Mundos  ,$ 50.762
232, Operación Requiem  ,$ 73.190
233, La Senda del Perdedor  ,$ 45.000
234," Tierras Baldias, las (Torre Oscura Iii)  ",$ 65.238
235, Maravillosa Redención (Hermanos Maddox #2) (libro en Español; Formato: Rústica; Medidas: 15 X 24 mm; ISBN: 9789569585289)  ,$ 79.048
236, Bajo la Luna de Hawai  ,$ 257.190
237, El Muñeco de Nieve (Harry Hole 7)  ,$ 71.667
238, La Cúpula (Under the Dome) (b)  ,$ 101.238
239, El Tiempo Entre Costuras  ,$ 66.905
240, La Isla de las mil Fuentes  ,$ 67.571
241, El año en que te Conoci  ,$ 67.524
242, Aleph  ,$ 58.476
243, Maldito Karma  ,$ 57.000
244, El Libro de los Baltimore  ,$ 64.857
245, Marina  ,$ 63.381
246, Rugendas. Una Novela  ,$ 87.905
247, El Hobbit  ,$ 125.190
248, Tengo Ganas de ti  ,$ 56.524
249, Joyas del Sol ,$ 52.333
250, Historias Envolá  ,$ 67.286
251, El Cazador (Inspector Joona Linna #6)  ,$ 90.810
252, Relatos de una Mujer Borracha  ,$ 67.286
253, Reckoners 1. Steelheart  ,$ 105.095
254, La Puerta de las Tinieblas (Condenados 2)  ,$ 68.667
255, Rey de Picas  ,$ 56.905
256," Magico, Sombrio, Impenetrable  ",$ 65.238
257, Inferno (Versión Española) (Planeta Internacional)  ,$ 105.238
258, El banquete celestial   ,$ 69.333
259, El Guardián Invisible  ,$ 66.905
260, Centurio  ,$ 101.667
261, El Código da Vinci  ,$ 63.381
262, La Dama de la Ciudad Prohibida  ,$ 93.762
263, LA VIDA ETERNA DE PHINEAS GAGE  ,$ 87.905
264, Daringham Hall: El Retorno  ,$ 67.524
265, El Imperio Eres tú  ,$ 70.333
266, En el Bosque  ,$ 60.238
267, El leopardo  ,$ 80.429
268, Hotel Vendome  ,$ 61.905
269, Hombres buenos  ,$ 234.190
270, Detestable Error  ,$ 282.190
271, La Marca de la Sangre  ,$ 80.476
272, LAS DOS DESPUES DE LA MEDIA NOCHE  ,$ 59.524
273, La Mentira ,$ 41.714
274, Inferno ,$ 66.905
275, Desde Donde se Domine la Llanura  ,$ 92.286
276, La Cena Secreta  ,$ 90.524
277, Blue  ,$ 79.048
278, Tormenta de Espadas  ,$ 92.190
279, Las Olas del Destino  ,$ 67.571
280, El Secreto del Solsticio de Verano  ,$ 90.810
281, Una Libreria en Berlin  ,$ 59.762
282, A Tres Metros Sobre el Cielo  ,$ 53.333
283, Las Puertas Templarias  ,$ 63.381
284, Factotum  ,$ 72.000
285, Luces del sur  ,$ 59.524
286, Canción de Hielo y Fuego 4: Festín de Cuervos  ,$ 92.190
287, Batalla de reyes. Profecía de Merlín I  ,$ 87.905
288, El ruiseñor  ,$ 93.762
289, Viajera  ,$ 67.476
290, Autoridad  ,$ 96.381
291, La herencia (Spanish Edition)  ,$ 67.524
292, Medio rey (el mar Quebrado 1)  ,$ 82.000
293, Logia  ,$ 69.952
294, 2. La Llegada de los Tres  la Torre Oscura  ,$ 59.524
295, La Chica Que Tocaba El Cielo (b De Bolsillo)  ,$ 70.238
296, El Cuaderno de Maya  ,$ 115.190
297, Intuición  ,$ 87.619
298, Un Saco de Huesos Debols! Llo  ,$ 68.048
299, Dr. Bloodmoney  ,$ 59.952
300, Daringham Hall. La Decisión (Trilogía Daringham Hall 2)  ,$ 67.524
301, La Leyenda de la Montaña de Fuego  ,$ 67.571
302, La Química  ,$ 82.000
303, El Hombre que Perseguia su Sombra (Millennium #5)  ,$ 71.190
304, La Última Milla  ,$ 67.095
305, El Barco De Ebano  ,$ 76.095
306, Mujeres  ,$ 66.714
307, Almanegra (Trilogia del Perdon #2)  ,$ 70.095
308, Se lo que Estas Pensando  ,$ 56.905
309, La Pirámide Inmortal: El Secreto Egipcio de Napoleón (Biblioteca Javier Sierra)  ,$ 66.905
310, Ha Vuelto  ,$ 63.381
311, Escuela de Sangre  ,$ 65.238
312, La Templanza ,$ 77.286
313, La Pareja de al Lado  ,$ 79.048
314, La viuda  ,$ 84.667
315, Trilogía Condenados 3. La Invasión de las Tinieblas  ,$ 53.857
316, Asesinato de Calidad  ,$ 57.667
317, El Sari Rojo. Cuando la Vida es el Precio del Poder (Edición de Bolsillo)  ,$ 70.333
318, La Sombra del Viento  ,$ 75.143
319, El Grito de la Tierra  ,$ 62.000
320, En Nombre del Amor (Pelicula)  ,$ 64.333
321, Sangre en el Tamesis  ,$ 67.143
322, Pequeñas Mentiras  ,$ 67.524
323, El Juego del Angel (Cementerio de Libros Olvidados #2)  ,$ 82.429
324, El Juego de Ripper  ,$ 67.619
325, El Nombre de la Rosa  ,$ 54.952
326, El Ascenso de Endymion  ,$ 46.714
327, Metro 2034  ,$ 63.381
328, Sueños de Robot  ,$ 64.429
329, La Piedra de Fuego  ,$ 53.619
330, Atrapada en el Tiempo  ,$ 63.762
331, Los Besos en el pan  ,$ 68.524
332, El Codigo da Vinci ( Nueva Edicion )  ,$ 70.238
333, El laberinto de oro (B DE BOLSILLO) ,$ 64.381
334, En las Montañas de la Locura  ,$ 59.190
335," Charles street, n.°44  ",$ 61.905
336, Ni lo Sueñes  ,$ 63.381
337, Dime Quien soy  ,$ 115.190
338, cuando te encuentre  ,$ 52.714
339, El Legado  ,$ 41.714
340, Aceptación  ,$ 96.381
341, Roma: El Espía del Emperador  ,$ 65.000
342, Me Encontrarás en el fin del Mundo  ,$ 59.952
343, aleph  ,$ 63.095
344, El Sendero del Amor  ,$ 54.476
345, Draco. La Sombra del Emperador  ,$ 84.952
346, Polvo  ,$ 80.476
347, Una casa en Thornwood  ,$ 398.238
348, La Hermandad de la Sabana Santa  ,$ 58.190
349, Belgravia  ,$ 84.952
350, La Niña Perdida  ,$ 90.810
351, La Pirámide Inmortal  ,$ 65.476
352, Perdida  ,$ 68.048
353, El Tren de los Huerfanos  ,$ 67.524
354," Te Comeria, Amor  ",$ 73.190
355, Después de tí (yo Antes de tí #2)  ,$ 79.048
356, Dr. Engel  ,$ 104.429
357, Calendar Girl iii  ,$ 54.286
358, El Alquimista  ,$ 69.952
359, Mucho más que un Club de Chicas  ,$ 210.905
360, La Granja de Cuerpos (Doctora kay Scarpetta 5) (b de Bolsillo)  ,$ 56.905
361, La Mujer de mi Vida  ,$ 90.952
362, El Aguila de Plata  ,$ 52.714
363, Nanai  ,$ 67.000
364, La Isla Bajo el mar  ,$ 64.429
365, La Confesion  ,$ 78.238
366, La Dama Azul  ,$ 66.905
367, El Infiltrado  ,$ 66.905
368, Danza de Dragones (Cancion de Hielo y fu  ,$ 73.238
369, Los Pilares de la Tierra  ( Libro 1 de los Pilares de la Tierra )  ,$ 70.524
370, Ofrenda a la Tormenta  ,$ 66.905
371, Madame Serpiente  ,$ 54.476
372," Santiago Quiñones, perro muerto  ",$ 73.190
373, Hachiko. El Perro que Esperaba  ,$ 45.000
374, Maravilloso error  ,$ 82.000
375, El día de la Independencia  ,$ 82.000
376, Circo Maximo. La ira de Trajano (Trilogia de Trajano  ,$ 77.286
377, El enigma KBO  ,$ 84.667
378, Trauma  ,$ 70.524
379, La sed  ( Libro 11 de la Serie Harry Hole )  ,$ 71.667
380, La llave del destino  ,$ 104.810
381, El Pistolero. La Torre Oscura i  ,$ 85.619
382, Esperanza del venado  ,$ 52.714
383, Rosy y John  ,$ 52.000
384, yo el supremo (debols!llo)  ,$ 193.476
385, El Presidente Ha Desaparecido  ,$ 96.381
386, Sarum. La Novela de Inglaterra  ,$ 82.714
387, Cancion de Susannah (Torre Oscura vi)  ,$ 56.095
388," Naves de la Magia, las  ",$ 82.048
389, Bruja Oscura (Trilogía de los Odwyer #1)  ,$ 52.810
390, Los Médici. Una Reina al Poder (Los Médici 3)  ,$ 69.333
391, El Medico  ,$ 64.429
392, Mensaje en una Botella  ,$ 52.714
393, No es amor es solo París  ,$ 64.667
394, Tormenta de Espadas  ,$ 86.524
395, Nombre de Torero  ,$ 65.810
396, MUERTE DE UN IMPERIO  ,$ 86.143
397, El Señor de los anillos I: La comunidad del anillo  ,$ 77.619
398, El Pistolero (la Torre Oscura #1) (b)  ,$ 50.762
399, Plataforma  ,$ 70.190
400, Mr. Mercedes  ( Libro 1 de la Trilogia Bill Hodges )  ,$ 71.667
401," Yo, Livia (Histórica)  ",$ 80.476
402, Querido John (Rocabolsillo Bestseller)  ,$ 54.476
403," Muy Profundo ii. Eterno: Ella: Mi Ángel, yo: Su Demonio  ",$ 67.048
404," Sissi, Emperatriz Accidental  ",$ 62.952
405, Mil Soles Esplendidos  ,$ 62.619
406, El Hombre que Perseguia al Tiempo  ,$ 77.524
407, 29  ,$ 59.905
408, La Madre Perfecta  ,$ 79.048
409, Calle de las Tiendas Oscuras  ,$ 75.952
410, El Libro de los Espejos  ,$ 60.667
411, Sinsajo  ,$ 40.000
412, Las Lágrimas de la Diosa Maorí  ,$ 54.952
413, En Llamas  ,$ 56.095
414, El Secreto de Gray Mountain  ,$ 59.524
415, Un Espia Perfecto  ,$ 60.714
416, Veinte Preguntas Para Gloria  ,$ 67.238
417, Gog. Empieza la Cuenta Atrás  ,$ 75.810
418, La Historia de Maia ( Libro 1 de las Siete Hermanas )  ,$ 77.000
419, En el Corazon de la Isla de Fuego  ,$ 60.238
420, El Paseo ,$ 53.333
421, El Sueño y la Muerte  ,$ 55.000
422, Desde mi Cielo  ,$ 74.667
423, La Salvación de una Santa  ,$ 55.524
424, Las Lágrimas de la Diosa Maorí  ,$ 57.000
425," Respira, Rebecca, Respira  ",$ 71.524
426, El Camino de los Dioses  ,$ 102.571
427, El Pantano de las Mariposas  ,$ 66.810
428, Las Cartas Secretas del Monje que Vendió su Ferrari  ,$ 61.238
429, Memorias del Aguila y del Jaguar  ,$ 64.381
430, Las Valkirias  ,$ 55.524
